Feb 26 18:13:46 cs219-laptop kernel: [ 1478.769628] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 54M, loss ratio: 0, window size: 80
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.246741] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2741, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.252846] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2821, tx_rate: 48M, loss ratio: 20, window size: 80
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.259842] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2901, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.266330] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2981, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.271002] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3061, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.280286] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3141, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.287746] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3221, tx_rate: 48M, loss ratio: 23, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.293568] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3301, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.305457] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3381, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:13:54 cs219-laptop kernel: [ 1479.311997] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3461, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.332201] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3541, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.340814] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3621, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.347387] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3701, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.353497] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3781, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.359973] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3861, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:55 cs219-laptop kernel: [ 1479.368606] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 3941, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.375014] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4021, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.381787] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4101, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.387811] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4181, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.393345] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4261, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.409692] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4341, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.415772] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4421, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:56 cs219-laptop kernel: [ 1479.424128] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4501, tx_rate: 36M, loss ratio: 30, window size: 50
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.428037] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4551, tx_rate: 36M, loss ratio: 18, window size: 50
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.436219] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4601, tx_rate: 36M, loss ratio: 19, window size: 50
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.442533] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4651, tx_rate: 36M, loss ratio: 25, window size: 50
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.446998] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4701, tx_rate: 36M, loss ratio: 23, window size: 50
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.450619] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4751, tx_rate: 48M, loss ratio: 7, window size: 80
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.456351] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4831, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:57 cs219-laptop kernel: [ 1479.464550] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4911, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.471007] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 4991, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.478851] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5071, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.484425] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5151, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.489591] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5231, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.500068] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5311, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.507931] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5391, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.513161] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5471, tx_rate: 48M, loss ratio: 20, window size: 80
Feb 26 18:13:58 cs219-laptop kernel: [ 1479.519282] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5551, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:59 cs219-laptop kernel: [ 1479.526101] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5631, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:59 cs219-laptop kernel: [ 1479.539269] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5711, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:59 cs219-laptop kernel: [ 1479.547983] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5791, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:13:59 cs219-laptop kernel: [ 1479.556886] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5871, tx_rate: 48M, loss ratio: 19, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.584412] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 5951, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.596115] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6031, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.602468] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6111, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.610352] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6191, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.619025] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6271, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:00 cs219-laptop kernel: [ 1479.635392] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6351, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.641955] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6431, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.652872] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6511, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.659207] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6591, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.667095] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6671, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.674425] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6751, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.679981] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6831, tx_rate: 54M, loss ratio: 4, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.686067] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6911, tx_rate: 54M, loss ratio: 4, window size: 80
Feb 26 18:14:01 cs219-laptop kernel: [ 1479.694942] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 6991, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.700834] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7071, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.707224] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7151, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.713045] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7231, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.720811] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7311, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.726150] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7391, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.732912] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7471, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:14:02 cs219-laptop kernel: [ 1479.755373] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7551, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.763032] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7631, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.770548] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7711, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.776803] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7791, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.784353] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7871, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.790906] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 7951, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.795581] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8031, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:03 cs219-laptop kernel: [ 1479.807114] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8111, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.813374] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8191, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.818610] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8271, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.827755] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8351, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.832801] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8431, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.838565] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8511, tx_rate: 48M, loss ratio: 15, window size: 80
Feb 26 18:14:04 cs219-laptop kernel: [ 1479.858283] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8591, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.880783] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8671, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.889022] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8751, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.895866] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8831, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.902831] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8911, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.909804] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 8991, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.917955] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9071, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:05 cs219-laptop kernel: [ 1479.924523] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9151, tx_rate: 54M, loss ratio: 4, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.935161] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9231, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.941361] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9311, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.946393] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9391, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.955292] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9471, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.962018] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9551, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.974715] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9631, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:06 cs219-laptop kernel: [ 1479.979517] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9711, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1479.986629] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9791, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1479.995049] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9871, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1480.001595] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 9951, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1480.009630] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10031, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1480.016950] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10111, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:07 cs219-laptop kernel: [ 1480.030807] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10191, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:14:08 cs219-laptop kernel: [ 1480.038848] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10271, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:14:08 cs219-laptop kernel: [ 1480.046804] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10351, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:08 cs219-laptop kernel: [ 1480.053739] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10431, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:14:08 cs219-laptop kernel: [ 1480.064984] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10511, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:08 cs219-laptop kernel: [ 1480.073498] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10591, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:09 cs219-laptop kernel: [ 1480.083084] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10671, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:14:09 cs219-laptop kernel: [ 1480.089900] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10751, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:14:09 cs219-laptop kernel: [ 1480.095908] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10831, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:09 cs219-laptop kernel: [ 1480.101958] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10911, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.124861] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 10991, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.130046] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11071, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.136627] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11151, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.164672] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11231, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.172011] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11311, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.179388] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11391, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:10 cs219-laptop kernel: [ 1480.185663] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11471, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:11 cs219-laptop kernel: [ 1480.199937] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11551, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:14:11 cs219-laptop kernel: [ 1480.209441] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11631, tx_rate: 48M, loss ratio: 6, window size: 80
Feb 26 18:14:11 cs219-laptop kernel: [ 1480.222541] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11711, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:14:11 cs219-laptop kernel: [ 1480.231237] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11791, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:14:11 cs219-laptop kernel: [ 1480.237023] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11871, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:14:12 cs219-laptop kernel: [ 1480.248471] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 11951, tx_rate: 48M, loss ratio: 19, window size: 80
